Column1	Column2	Column3	Column4	Column5	Column6
Quem é o arquiteto responsável pelo projeto do Museu Guggenheim em Bilbao, Espanha?	Frank Lloyd Wright	Zaha Hadid	Rem Koolhaas	Frank Gehry	4
Qual é o estilo arquitetónico conhecido por suas linhas curvas, inspiradas na natureza, e é exemplificado na Casa Batlló e no Parque Güell em Barcelona?	Gótico	Barroco	Art Nouveau	Rococó	3
Qual é o nome do famoso arquiteto norte-americano que projetou a conhecida Casa da Cascata (Fallingwater)?	Louis Sullivan	Mies van der Rohe	Frank Lloyd Wright	Philip Johnson	3
O que é um edifício patrimonial?	Um edifício para guardar o património dos depositantes (o mesmo que banco)	Um edifício que envolveu um grande investimento	Um edifício histórico de valor cultural, histórico ou arquitetónico	Um edifício adquirido para fins de especulação imobiliária	3
O que é um mezanino em arquitetura?	Uma escada interior que dá acesso a uma varanda 	Andar parcial mais baixo introduzido no pé-direito de um andar principal, com acesso apenas pelo interior do recinto	Uma forma de iluminação natural a meia-luz	Um tipo de coluna bizantina	2
Qual é o nome do famoso arquiteto espanhol que projetou a Sagrada Família em Barcelona?	Antoni Gaudí	Frank Gehry	Renzo Piano	Le Corbusier	1
O que é o estilo arquitetónico caracterizado por linhas limpas, formas geométricas simples e uso de materiais industriais como aço e vidro?	Art Déco	Modernismo	Rococó	Barroco	2
Qual é o nome do arquiteto brasileiro conhecido por projetar a Catedral de Brasília?	Oscar Niemeyer	Lucio Costa	Roberto Burle Marx	Cândido Portinari	1
Quem é o arquiteto responsável pelo projeto do Museu de Arte Moderna (MoMA) em Nova Iorque?	Ieoh Ming Pei	Renzo Piano	Frank Gehry	Zaha Hadid	1
Qual é o nome do famoso arquiteto conhecido por projetar a Villa Savoye?	Frank Gehry	Zaha Hadid	Le Corbusier	Frank Lloyd Wright	3
O que é o estilo arquitetónico caracterizado por arcos ogivais e vitrais coloridos, frequentemente usado em igrejas medievais?	Art Nouveau	Gótico	Renascimento	Rococó	2
Qual é o nome do famoso templo grego dedicado à deusa Atena em Atenas, conhecido por suas colunas dóricas?	Templo de Zeus	Partenon	Templo de Apolo	Templo de Hércules	2
