Column1	Column2	Column3	Column4	Column5	Column6
O que é ecologia?	O estudo das rochas e minerais	O estudo dos fenómenos atmosféricos	O estudo das relações entre os seres vivos e o ambiente em que vivem	O estudo dos átomos e moléculas	3
O que é um ecossistema?	Um grupo de pessoas que partilham os mesmos interesses ambientais	Uma área geográfica onde vários organismos interagem com o ambiente físico	Um tipo de planta aquática	Um sistema político ecológico	2
O que é um predador?	Um organismo que se alimenta apenas de plantas	Um organismo que se alimenta de outros organismos	Uma presa fácil	Um tipo de planta carnívora	2
O que é a biodiversidade?	A variedade genética, de espécies e de ecossistemas	A diferença de genes entre seres vivos de espécies diferentes	O número de seres humanos no planeta	O número de seres vivos no planeta	1
O que é uma cadeia alimentar?	Uma sequência de eventos que descreve a produção de alimentos	Uma lista de restaurantes recomendados	Uma representação gráfica das relações alimentares entre diferentes organismos em um ecossistema	Um tipo de armadilha para caçar animais	3
O que é a fotossíntese?	O processo pelo qual as plantas convertem a energia solar em alimentos (glicose)	Um tipo de tratamento médico	O processo pelo qual os animais obtêm oxigénio do ar	O processo de decomposição de resíduos orgânicos	1
O que é um habitat?	O local onde as pessoas vivem	O local onde os animais vivem e encontram alimentos, água e abrigo	O local onde as plantas crescem	O local onde se guardam os alimentos	2
O que é a poluição?	A presença de organismos indesejados em um ecossistema	A introdução de substâncias ou agentes poluentes no ambiente, prejudicando a qualidade do ar, da água ou do solo	A quantidade de chuva em uma região	O número de espécies em extinção	2
O que é a simbiose?	Uma relação em que dois organismos de espécies diferentes vivem juntos e beneficiam um ao outro	Uma relação em que dois organismos competem pelo mesmo recurso	Uma relação em que um organismo caça e se alimenta de outro	Uma relação em que um organismo se alimenta de detritos	1
O que é a teoria da evolução?	Uma explicação científica que postula que as espécies mudam ao longo do tempo através da seleção natural	Uma teoria que afirma que todas as espécies são imutáveis	Um conceito religioso que explica a origem da vida	Um tipo de reprodução assexuada	1
O que são os genes?	Segmentos de DNA que contêm instruções para a produção de proteínas e influenciam traços hereditários	Pequenas partículas no núcleo das células	Moléculas de oxigénio	Estruturas nas células vegetais	1
O que é a genética?	O estudo dos genes e da hereditariedade	O estudo das rochas e minerais	O estudo das estrelas e planetas	O estudo das reações químicas	1
O que é a geologia?	A ciência que estuda a Terra, sua composição, estrutura e história	A ciência que estuda o espaço sideral	A ciência que estuda o clima	A ciência que estuda as plantas	1
O que é a erosão?	O desgaste e a remoção de solo e rochas da superfície da Terra, causados por fatores como água, vento e gelo	O processo de formação de montanhas	O movimento das placas tectónicas	O estudo das rochas e minerais	1
Como é formada uma rocha sedimentar?	Por magma vulcânico solidificado	Pela acumulação e compactação de areia e lodo	Por metamorfismo	Por explosões nucleares	2
A topografia é o estudo …	das camadas mais altas da atmosfera	do topo das montanhas	das características físicas da superfície da Terra	da distribuição geográfica dos animais no topo da cadeia alimentar	3
O que é a meteorização?	O processo de desintegração e decomposição das rochas devido a agentes naturais, como chuva, vento e temperatura	O processo de formação de montanhas	O estudo dos vulcões	O estudo dos planetas do sistema solar	1
O que é uma falha geológica?	Um tipo de rocha metamórfica com fissuras	Uma fratura na crosta terrestre ao longo da qual ocorreu deslocamento	Uma formação geológica subaquática	Um tipo de minério em falta	1
O que é a zoologia?	A ciência que estuda os animais e seu comportamento	A ciência que estuda as rochas e minerais	A ciência que estuda as plantas	A ciência que estuda o clima	1
Qual é o maior mamífero terrestre?	Girafa	Rinoceronte	Elefante africano	Baleia	3
