Column1	Column2	Column3	Column4	Column5	Column6
O que é uma turbina eólica?	Um motor a vapor	Um dispositivo que gera eletricidade a partir do vento	Uma máquina de escavação	Um instrumento musical	2
O que é a energia geotérmica?	Energia gerada a partir da queima de combustíveis fósseis	Energia proveniente do movimento das marés	Energia obtida a partir do calor da Terra	Energia gerada por ondas oceânicas	3
O que é a nanotecnologia?	A tecnologia de construção de estradas	A tecnologia de manipulação de átomos e moléculas	A tecnologia de energia solar	A tecnologia de telecomunicações	2
Qual é a fonte de energia renovável que utiliza o movimento da água para gerar eletricidade?	Energia solar	Energia geotérmica	Energia hidroelétrica	Energia eólica	3
O que é a engenharia genética?	Um campo de estudo que se concentra na construção de estruturas metálicas	Um processo de modificação do DNA de organismos vivos	Um método de produção de alimentos inorgânicos	Um tipo de engenharia de software	2
O que é a robótica?	Um tipo de impressão 3D	Um campo de estudo que se concentra na criação de máquinas autónomas programáveis	Um método de agricultura orgânica	Um tipo de tecnologia espacial	2
Qual é o nome do processo de conversão de materiais usados em novos produtos?	Renovação	Reciclagem	Incineração	Reparação	2
O que é um gerador de biomassa?	Um gerador eólico movido a energia biológica	Uma turbina geradora de massa bilógica	Um dispositivo para produção de eletricidade a partir de resíduos orgânicos	Uma máquina de lavar roupa que respeita as fibras biológicas	3
Qual é o processo de conversão de resíduos orgânicos em material rico em nutrientes para o solo?	Compostagem	Reciclagem	Incineração	Armazenamento	1
Qual é o nome da tecnologia que permite a criação de ambientes digitais tridimensionais inexistentes?	Realidade aumentada	Realidade virtual	Realidade mista	Realidade paralela	2
Qual é o nome do processo de conversão de água salgada em água potável?	Desalinização	Destilação	Decantação	Filtragem	1
Qual é o sistema operativo de código aberto mais amplamente utilizado no mundo?	Windows	macOS	Linux	Android	3
Qual é o nome do processo de ocultar informações sensíveis dentro de outras informações, tornando-as ininteligíveis?	Compressão de dados	Criptografia	Descompressão	Compactação	2
Quem é considerado o cofundador da Microsoft e um dos empresários mais ricos do mundo?	Elon Musk	Richard Branson	Bill Gates	Mark Zuckerberg	3
O que é "cloud computing"?	Uma técnica de impressão 3D	Um método de armazenamento de dados em servidores remotos	Um tipo de linguagem de programação	Um sistema de segurança de rede	2
Qual é a sigla para "Hypertext Markup Language," a linguagem de marcação usada para criar páginas da web?	XML	HTML	HTTP	URL	2
Qual é o nome do fundador da SpaceX e da Tesla, conhecido por seus esforços na exploração espacial e veículos elétricos?	Richard Branson	Jeff Bezos	Elon Musk	Larry Page	3
Qual é o nome do sistema de posicionamento global que permite a determinação de localização em qualquer lugar da Terra?	GPRS	Bluetooth	Wi-Fi	GPS	4
Quem é conhecido como o "pai da eletricidade" e que inventou a lâmpada incandescente?	Isaac Newton	Nikola Tesla	Thomas Edison	James Clerk Maxwell	3
Qual é o nome do sistema operativo desenvolvido pela Apple para seus computadores pessoais?	Linux	macOS	Windows	Android	2
Qual é o protocolo de Internet amplamente usado para enviar e-mails?	FTP	HTTP	SMTP	DNS	3
Qual é o nome da primeira missão tripulada que levou o homem à lua?	Apollo 1	Apollo 11	Apollo 13	Apollo 19	2
Qual é o nome da linguagem de programação frequentemente usada para análise de dados e aprendizagem automática?	Python	C++	JavaScript	Ruby	1
Qual é o nome da primeira rede social lançada em 2004 por Mark Zuckerberg?	Twitter	LinkedIn	Facebook	Instagram	3
Quem é considerado o "pai da computação" e desenvolveu a máquina analítica no século XIX?	Alan Turing	John von Neumann	Charles Babbage	Tim Berners-Lee	3
Qual cientista é conhecido por sua contribuição fundamental para o desenvolvimento da linguagem de programação Fortran?	Linus Torvalds	John Backus	Grace Hopper	Dennis Ritchie	2
Quem projetou a primeira linguagem de programação de alto nível, chamada COBOL?	John Backus	Ada Lovelace	Grace Hopper	Dennis Ritchie	3
Qual é a área da engenharia que se concentra em projetar sistemas de automação e controle industrial?	Engenharia Informática	Engenharia Mecatrónica	Engenharia Agrícola	Engenharia de Telecomunicações	2
O que é a análise de elementos finitos na Engenharia Mecânica?	Uma técnica de construção de máquinas	Um método para estudar como interage um número limitado (finito) de peças mecânicas	Uma técnica de produção em massa	Um método para simular o comportamento de estruturas complexas	4
Qual é a importância da lubrificação na operação e manutenção de equipamentos mecânicos?	Evitar a corrosão dos materiais	Reduzir o atrito e o desgaste de peças móveis	Melhorar as transferências térmicas	Melhorar o isolamento elétrico	2
O que é um motor de combustão interna?	Um motor que transforma internamente eletricidade em energia mecânica	Um motor em que se queima lenha internamente para produzir vapor de água	Um motor de explosão que converte energia térmica em energia mecânica	Um motor em que existe uma chama interna que aquece uma caldeira	3
O que é a manutenção preditiva na Engenharia Mecânica?	A manutenção que é feita após a falha de um equipamento	A manutenção que é feita regularmente, independentemente do estado do equipamento	A manutenção baseada em dados e monitorização para prevenir falhas	A manutenção que envolve a troca completa de equipamentos	3
