Column1	Column2	Column3	Column4	Column5	Column6
Quem pintou a "Mona Lisa," uma das obras de arte mais famosas do mundo?	Pablo Picasso	Leonardo da Vinci	Vincent van Gogh	Michelangelo Buonarroti	2
Qual é o nome do famoso pintor espanhol conhecido por seus quadros cubistas, como "Guernica"?	Salvador Dalí	Diego Rivera	Pablo Picasso	Joan Miró	3
Qual é o nome do famoso escultor italiano que criou a estátua de "David" e a pintura do teto da Capela Sistina?	Caravaggio	Leonardo da Vinci	Michelangelo Buonarroti	Rafael Sanzio	3
Quem é o fundador do movimento artístico surrealista e pintou a obra "A Persistência da Memória"?	Salvador Dalí	Joan Miró	René Magritte	Pablo Picasso	1
A obra de arte do pintor russo Wassily Kandinsky é fundamentalmente conhecida pela utilização de que elementos?	Representações oníricas	Formas geométricas e cores vibrantes	Naturezas mortas	Cenas campestres	2
Quem é a famosa pintora mexicana conhecida por suas obras que retratam a cultura mexicana e a luta das mulheres?	Frida Kahlo	Georgia O'Keeffe	Tamara de Lempicka	Louise Bourgeois	1
Qual é o nome do famoso pintor holandês conhecido pelos seus quadros impressionistas com paisagens campestres?	Claude Monet	Vincent van Gogh	Piet Mondrian	Édouard Manet	2
Qual é o nome do movimento artístico que enfatiza a representação realista de cenas do cotidiano e da classe trabalhadora?	Renascimento	Realismo	Impressionismo	Fauvismo	2
Qual é o nome do famoso pintor espanhol que é um dos pioneiros do cubismo e pintou "Les Demoiselles d'Avignon"?	Salvador Dalí	Diego Rivera	Pablo Picasso	Joan Miró	3
Qual é o nome da técnica de arte japonesa que envolve a criação de imagens usando papel recortado?	Origami	Sumi-e	Kintsugi	Kirigami	4
Quem é o artista italiano famoso por suas pinturas renascentistas, como "A Última Ceia" e "A Mona Lisa"?	Leonardo da Vinci	Michelangelo Buonarroti	Rafael Sanzio	Donatello	1
Qual é o nome do famoso pintor americano conhecido por suas latas de sopa e retratos de celebridades, muitas vezes associado à pop art?	Roy Lichtenstein	Andy Warhol	Keith Haring	Jackson Pollock	2
Quem é o famoso pintor renascentista italiano que pintou "O Nascimento de Vénus" e "A Primavera"?	Caravaggio	Leonardo da Vinci	Michelangelo Buonarroti	Sandro Botticelli	4
Quem escreveu a obra "Dom Quixote"?	Fernando Pessoa	Machado de Assis	Miguel de Cervantes	William Shakespeare	3
Quem é o autor da obra "Cem Anos de Solidão"?	Gabriel García Márquez	Pablo Neruda	Julio Cortázar	Isabel Allende	1
Qual o nome da corrente artística, como a de Salvador Dalí e René Magritte, que se caracteriza por enfatizar o papel do inconsciente na atividade criativa, integrando elementos oníricos e ilógicos?	Expressionismo	Futurismo	Surrealismo	Cubismo	3
Quem é o autor da peça de teatro "Romeu e Julieta"?	Anton Chekhov	Tennessee Williams	Arthur Miller	William Shakespeare	4
Qual autor é conhecido por escrever a série de livros "Harry Potter"?	J.R.R. Tolkien	J.K. Rowling	George Orwell	Jane Austen	2
Quem é o diretor do filme "E o Vento Levou," um clássico do cinema?	Alfred Hitchcock	Steven Spielberg	Victor Fleming	Quentin Tarantino	3
Qual é o nome da famosa ópera de Giuseppe Verdi que conta a história de uma escrava etíope?	Aida	Carmen	La Traviata	O Barbeiro de Sevilha	1
Quem é o autor da obra "1984", a famosa distopia futurista que descreve o engano oficial, a vigilância secreta e a manipulação da história registrada por um Estado totalitário?	George Orwell	Aldous Huxley	Ray Bradbury	Fyodor Dostoevsky	1
Qual é o nome do famoso diretor de cinema conhecido por filmes como "Pulp Fiction" e "Kill Bill"?	Steven Spielberg	Quentin Tarantino	Martin Scorsese	Francis Ford Coppola	2
Qual é o nome da técnica de pintura que usa pequenos pontos de cor para criar uma imagem quando vistos de longe?	Impressionismo	Pontilhismo	Cubismo	Surrealismo	2
Quem é o diretor do filme "Cidadão Kane," frequentemente considerado um dos maiores filmes de todos os tempos?	Alfred Hitchcock	Orson Welles	Stanley Kubrick	Martin Scorsese	2
Qual é o nome da famosa banda de rock britânica conhecida por álbuns como "The Dark Side of the Moon" e "The Wall"?	Led Zeppelin	The Rolling Stones	Pink Floyd	The Who	3
Quem é o autor da série de romances "O Senhor dos Anéis"?	C.S. Lewis	George R.R. Martin	J.K. Rowling	J.R.R. Tolkien	4
Qual é o nome do diretor de cinema responsável pela trilogia "O Padrinho"?	Francis Ford Coppola	Quentin Tarantino	Steven Spielberg	Martin Scorsese	1
Qual é o nome da famosa cantora britânica conhecida por músicas como "Rolling in the Deep" e "Hello"?	Alicia Keys	Adele	Beyoncé	Rihanna	2
Qual é o nome da técnica fotográfica que cria uma profundidade de campo muito rasa e desfoca o fundo, destacando o objeto em foco?	Fotografia panorâmica	Fotografia em HDR	Bokeh	Fotografia macro	3
Quem é o autor do romance "Dom Quixote," uma das obras literárias mais importantes da história?	William Shakespeare	Miguel de Cervantes	Johann Wolfgang von Goethe	Jane Austen	2
Qual é o nome do diretor de cinema conhecido por filmes como "E.T. - O Extraterrestre" e "Jurassic Park"?	George Lucas	Steven Spielberg	Tim Burton	Christopher Nolan	2
Qual é o nome do diretor de cinema conhecido por filmes como "Psicose" e "Os Pássaros"?	Alfred Hitchcock	Martin Scorsese	Quentin Tarantino	Tim Burton	1
Qual é o nome da famosa cantora e atriz conhecida por filmes como "O Mágico de Oz" e "E o Vento Levou"?	Audrey Hepburn	Marilyn Monroe	Judy Garland	Grace Kelly	3
Quem é o autor da série de romances de espionagem "James Bond," também conhecida como 007?	Robert Ludlum	John le Carré	Tom Clancy	Ian Fleming	4
